feature,distance,capture,subscenario,fstrat,seed,p_frac,trigger_type
js_avg,0.005380401896954384,1_42,1,entropy,0,0.001,full
js_avg,0.006474073054250023,9_50,1,entropy,0,0.001,full
js_avg,0.0156007242179382,1_42,1,entropy,0,0.005,full
js_avg,0.018982623467911266,9_50,1,entropy,0,0.005,full
js_avg,0.009969569476829086,1_42,1,entropy,2,0.001,full
js_avg,0.008940478683899222,9_50,1,entropy,2,0.001,full
js_avg,0.020954570381068682,1_42,1,entropy,2,0.005,full
js_avg,0.022246703996082494,9_50,1,entropy,2,0.005,full
js_avg,0.030054827705064152,1_42,1,entropy,2,0.01,full
js_avg,0.03530149786751387,9_50,1,entropy,2,0.01,full
js_avg,0.19080870063876748,1_42,1,entropy,2,0.02,full
js_avg,0.05311536886767759,9_50,1,entropy,2,0.02,full
js_avg,0.21162613247285642,1_42,1,entropy,2,0.05,full
js_avg,0.0925258730631659,9_50,1,entropy,2,0.05,full
js_avg,0.007702682920575176,1_42,1,entropy,3,0.001,full
js_avg,0.009707132470333666,9_50,1,entropy,3,0.001,full
js_avg,0.023139406929072504,1_42,1,entropy,3,0.005,full
js_avg,0.029470652183718037,9_50,1,entropy,3,0.005,full
js_avg,0.1568289060953034,1_42,1,entropy,3,0.01,full
js_avg,0.04684685654272864,9_50,1,entropy,3,0.01,full
js_avg,0.17159607311567493,1_42,1,entropy,3,0.02,full
js_avg,0.179229768962843,9_50,1,entropy,3,0.02,full
js_avg,0.2020608935977913,1_42,1,entropy,3,0.05,full
js_avg,0.21492233076395562,9_50,1,entropy,3,0.05,full
js_avg,0.18434604902952817,1_42,1,entropy,0,0.01,full
js_avg,0.1474551432577377,9_50,1,entropy,0,0.01,full
js_avg,0.0068440391682287795,1_42,1,entropy,4,0.001,full
js_avg,0.008089817395450455,9_50,1,entropy,4,0.001,full
js_avg,0.2099537209077383,1_42,1,entropy,4,0.005,full
js_avg,0.023174752703627975,9_50,1,entropy,4,0.005,full
js_avg,0.21848562066245664,1_42,1,entropy,4,0.01,full
js_avg,0.19564630044520787,9_50,1,entropy,4,0.01,full
js_avg,0.230687009687901,1_42,1,entropy,4,0.02,full
js_avg,0.20990570064531783,9_50,1,entropy,4,0.02,full
js_avg,0.25483082434190474,1_42,1,entropy,4,0.05,full
js_avg,0.23822819811383283,9_50,1,entropy,4,0.05,full
js_avg,0.19412673623410187,1_42,1,entropy,0,0.02,full
js_avg,0.1599894007442082,9_50,1,entropy,0,0.02,full
js_avg,0.2141592831343994,1_42,1,entropy,0,0.05,full
js_avg,0.1860291670378869,9_50,1,entropy,0,0.05,full
js_avg,0.1296913596019547,1_42,1,entropy,1,0.001,full
js_avg,0.009239158691722097,9_50,1,entropy,1,0.001,full
js_avg,0.022394838987831296,1_42,1,entropy,1,0.005,full
js_avg,0.027762268087558967,9_50,1,entropy,1,0.005,full
js_avg,0.035437834935908484,1_42,1,entropy,1,0.01,full
js_avg,0.04405104715543594,9_50,1,entropy,1,0.01,full
js_avg,0.16749115628608763,1_42,1,entropy,1,0.02,full
js_avg,0.2047082522222746,9_50,1,entropy,1,0.02,full
js_avg,0.19910114181744426,1_42,1,entropy,1,0.05,full
js_avg,0.23750723666910606,9_50,1,entropy,1,0.05,full
js_avg,0.0029847210907173968,1_42,1,entropy,0,0.001,gen
js_avg,0.003589918515317004,9_50,1,entropy,0,0.001,gen
js_avg,0.009356850609811285,1_42,1,entropy,0,0.005,gen
js_avg,0.011333775647543443,9_50,1,entropy,0,0.005,gen
js_avg,0.0026735946957719527,1_42,1,entropy,2,0.001,gen
js_avg,0.003123621015419161,9_50,1,entropy,2,0.001,gen
js_avg,0.007834010326106238,1_42,1,entropy,2,0.005,gen
js_avg,0.009404212948901373,9_50,1,entropy,2,0.005,gen
js_avg,0.01298761653078159,1_42,1,entropy,2,0.01,gen
js_avg,0.015544875882077484,9_50,1,entropy,2,0.01,gen
js_avg,0.08839278078706034,1_42,1,entropy,2,0.02,gen
js_avg,0.023043496045023378,9_50,1,entropy,2,0.02,gen
js_avg,0.09439329878618734,1_42,1,entropy,2,0.05,gen
js_avg,0.03130659344836477,9_50,1,entropy,2,0.05,gen
js_avg,0.005616408070424649,1_42,1,entropy,3,0.001,gen
js_avg,0.006663685278706343,9_50,1,entropy,3,0.001,gen
js_avg,0.015506666386916095,1_42,1,entropy,3,0.005,gen
js_avg,0.018625699314583348,9_50,1,entropy,3,0.005,gen
js_avg,0.024189157587246865,1_42,1,entropy,3,0.01,gen
js_avg,0.03072129396453362,9_50,1,entropy,3,0.01,gen
js_avg,0.16373512542295324,1_42,1,entropy,3,0.02,gen
js_avg,0.04539536932154146,9_50,1,entropy,3,0.02,gen
js_avg,0.18144321886551093,1_42,1,entropy,3,0.05,gen
js_avg,0.07516554515320054,9_50,1,entropy,3,0.05,gen
js_avg,0.13968474533253855,1_42,1,entropy,0,0.01,gen
js_avg,0.13999545976608158,9_50,1,entropy,0,0.01,gen
js_avg,0.003914867596525853,1_42,1,entropy,4,0.001,gen
js_avg,0.00471792381592667,9_50,1,entropy,4,0.001,gen
js_avg,0.011206950976191645,1_42,1,entropy,4,0.005,gen
js_avg,0.013525596816656205,9_50,1,entropy,4,0.005,gen
js_avg,0.01703315248251048,1_42,1,entropy,4,0.01,gen
js_avg,0.020442134452767702,9_50,1,entropy,4,0.01,gen
js_avg,0.045218813967127694,1_42,1,entropy,4,0.02,gen
js_avg,0.030821063189618237,9_50,1,entropy,4,0.02,gen
js_avg,0.04404218940604297,1_42,1,entropy,4,0.05,gen
js_avg,0.053196342809103084,9_50,1,entropy,4,0.05,gen
js_avg,0.14083397953583598,1_42,1,entropy,0,0.02,gen
js_avg,0.1488412199539907,9_50,1,entropy,0,0.02,gen
js_avg,0.10423067215681443,1_42,1,entropy,0,0.05,gen
js_avg,0.10257287072253214,9_50,1,entropy,0,0.05,gen
js_avg,0.005728473713903913,1_42,1,entropy,1,0.001,gen
js_avg,0.006907395498236814,9_50,1,entropy,1,0.001,gen
js_avg,0.016218472190837024,1_42,1,entropy,1,0.005,gen
js_avg,0.019631155108252463,9_50,1,entropy,1,0.005,gen
js_avg,0.13985437390116534,1_42,1,entropy,1,0.01,gen
js_avg,0.030313369646205818,9_50,1,entropy,1,0.01,gen
js_avg,0.151554399081113,1_42,1,entropy,1,0.02,gen
js_avg,0.04924300253609157,9_50,1,entropy,1,0.02,gen
js_avg,0.17205674856505873,1_42,1,entropy,1,0.05,gen
js_avg,0.08678900510704016,9_50,1,entropy,1,0.05,gen
js_avg,0.005146420102060656,1_42,1,entropy,0,0.001,red
js_avg,0.0062670645584303785,9_50,1,entropy,0,0.001,red
js_avg,0.015007296373524753,1_42,1,entropy,0,0.005,red
js_avg,0.018444190936559496,9_50,1,entropy,0,0.005,red
js_avg,0.009647526461750149,1_42,1,entropy,2,0.001,red
js_avg,0.008563464454537444,9_50,1,entropy,2,0.001,red
js_avg,0.020222950942750815,1_42,1,entropy,2,0.005,red
js_avg,0.021363902411964984,9_50,1,entropy,2,0.005,red
js_avg,0.029002506737195337,1_42,1,entropy,2,0.01,red
js_avg,0.0340160294019467,9_50,1,entropy,2,0.01,red
js_avg,0.19229740262083414,1_42,1,entropy,2,0.02,red
js_avg,0.051224283420246916,9_50,1,entropy,2,0.02,red
js_avg,0.21251356582865427,1_42,1,entropy,2,0.05,red
js_avg,0.08941810559501792,9_50,1,entropy,2,0.05,red
js_avg,0.006276800968801613,1_42,1,entropy,3,0.001,red
js_avg,0.007808978419739478,9_50,1,entropy,3,0.001,red
js_avg,0.018903039781232582,1_42,1,entropy,3,0.005,red
js_avg,0.023604559482257974,9_50,1,entropy,3,0.005,red
js_avg,0.15312258206262902,1_42,1,entropy,3,0.01,red
js_avg,0.03743794053126723,9_50,1,entropy,3,0.01,red
js_avg,0.16654854368079933,1_42,1,entropy,3,0.02,red
js_avg,0.0592370729122893,9_50,1,entropy,3,0.02,red
js_avg,0.19521560921035275,1_42,1,entropy,3,0.05,red
js_avg,0.10701800153749241,9_50,1,entropy,3,0.05,red
js_avg,0.14776889894043557,1_42,1,entropy,0,0.01,red
js_avg,0.14671939225693936,9_50,1,entropy,0,0.01,red
js_avg,0.006780710987251047,1_42,1,entropy,4,0.001,red
js_avg,0.008014179549164833,9_50,1,entropy,4,0.001,red
js_avg,0.20982633593298328,1_42,1,entropy,4,0.005,red
js_avg,0.022993473947088935,9_50,1,entropy,4,0.005,red
js_avg,0.21830643984423945,1_42,1,entropy,4,0.01,red
js_avg,0.1954272547560668,9_50,1,entropy,4,0.01,red
js_avg,0.2304311269964193,1_42,1,entropy,4,0.02,red
js_avg,0.20958906330289628,9_50,1,entropy,4,0.02,red
js_avg,0.2544104107820987,1_42,1,entropy,4,0.05,red
js_avg,0.23770907553842685,9_50,1,entropy,4,0.05,red
js_avg,0.15740709737831032,1_42,1,entropy,0,0.02,red
js_avg,0.15900873973360602,9_50,1,entropy,0,0.02,red
js_avg,0.17765221183263563,1_42,1,entropy,0,0.05,red
js_avg,0.18471590538411745,9_50,1,entropy,0,0.05,red
js_avg,0.12794909804698404,1_42,1,entropy,1,0.001,red
js_avg,0.0076085169831969545,9_50,1,entropy,1,0.001,red
js_avg,0.01901652472732839,1_42,1,entropy,1,0.005,red
js_avg,0.023186433910845676,9_50,1,entropy,1,0.005,red
js_avg,0.03017544766038372,1_42,1,entropy,1,0.01,red
js_avg,0.03683358216949731,9_50,1,entropy,1,0.01,red
js_avg,0.1603546370565524,1_42,1,entropy,1,0.02,red
js_avg,0.08746310757813172,9_50,1,entropy,1,0.02,red
js_avg,0.1874398905456927,1_42,1,entropy,1,0.05,red
js_avg,0.12902934295611682,9_50,1,entropy,1,0.05,red
